~     MAC: 00-17-0d-00-00-69-be-ef
~  Status: OPERATIONAL
~   Coord: (None,None)
~ User ID: None
-- 05/09/2023
12:30:32, efbeefbe00
12:31:00, 0200000000
12:31:06, 000000c843
12:31:20, 016167803f
12:33:46, 0200000000
12:33:50, 019903923f
12:33:53, 000000c843
12:34:58, 012f423e3f
12:35:39, 0200000000
12:35:47, 000000c843
12:36:51, 01d11f1f3f
12:37:33, 0200000000
12:37:42, 000000c843
12:38:45, 0109dc3a3f
12:39:27, 0200000000
12:39:36, 000000c843
12:40:38, 01caec043f
12:41:20, 0200000000
12:41:30, 000000c843
12:42:31, 01b00e233f
12:43:13, 0200000000
12:43:24, 000000c843
12:44:25, 018694613f
12:45:07, 0200000000
12:45:19, 000000c843
12:46:18, 01f4081e3f
12:47:01, 0200000000
12:47:13, 000000c843
12:48:12, 01f7940f3f
12:48:54, 02cdcccc3d
12:49:08, 000000c843
12:50:05, 0163f1493f
12:50:48, 02cdcccc3d
12:51:02, 000000c843
12:51:58, 01f450083f
12:52:41, 02cdcccc3d
12:52:56, 000000c843
12:53:51, 01e87c273f
12:54:34, 0200000000
12:54:50, 000000c843
12:55:44, 01b37a813f
12:56:30, 026666e63f
12:56:44, 000000c843
12:57:37, 014f4d0c3f
