~     MAC: 00-17-0d-00-00-69-be-ef
~  Status: OPERATIONAL
~   Coord: (None,None)
~ User ID: None
-- 05/09/2023
09:57:36, efbeefbe00
09:58:57, 01ff03423f
09:59:47, 0090010024
10:00:50, 0113bcff3e
10:01:42, 0090010024
10:02:43, 01a0723e3f
10:03:36, 0090010024
10:04:37, 01b9ae243f
10:05:30, 0090010024
10:06:30, 01eae6033f
10:07:25, 0090010024
10:08:23, 01bc61e63e
10:09:19, 0090010024
10:10:17, 010478393f
10:11:13, 0090010024
10:12:10, 01a404ba3f
10:13:08, 0090010024
10:14:03, 01b079fd3e
10:15:02, 0090010024
10:15:57, 010bc31c3f
10:16:56, 0090010024
10:17:50, 01a5c9483f
10:18:51, 0090010024
10:19:43, 011545233f
10:20:45, 0090010024
10:21:37, 019bc11d3f
10:22:40, 0090010024
10:23:31, 015b44253f
10:24:35, 0090010024
10:25:24, 018eade03e
10:26:29, 0090010024
10:27:17, 01873d4a3f
10:28:23, 0090010024
10:29:11, 01596b583f
10:30:18, 0090010024
10:31:04, 01a4a4193f
10:32:12, 0090010024
10:32:57, 01fe7a073f
10:34:06, 0090010024
10:34:50, 013333113f
10:36:01, 0090010024
10:36:44, 01a1e4d53e
10:37:55, 0090010024
10:38:37, 01c430db3e
10:39:49, 0090010024
10:40:30, 016302113f
10:41:44, 0090010024
10:42:24, 01181f0d3f
10:43:38, 0090010024
10:44:17, 015ed56c3f
10:45:32, 0090010024
10:46:10, 0131e8b23e
10:47:27, 0090010024
10:48:04, 01d7390d3f
10:49:21, 0090010024
10:49:57, 016962183f
10:51:15, 0090010024
10:51:50, 015abad53e
10:54:01, 0090010024
10:54:14, 018bbff83e
10:56:46, 0090010024
10:56:59, 01efdc243f
10:59:29, 01dc00fe3f
10:59:31, 0090010024
11:00:37, 016697d53e
11:01:26, 0090010024
11:02:30, 016e6de63e
11:03:20, 0090010024
11:04:23, 01549d263f
11:05:14, 0090010024
11:06:16, 014ff10d3f
11:07:09, 0090010024
11:08:10, 0103b6ed3e
11:09:03, 0090010024
11:10:04, 012a34053f
11:10:58, 0090010024
11:11:57, 01bb29c03e
11:12:52, 0090010024
11:13:50, 011bd90b3f
11:14:47, 0090010024
11:15:44, 015a75343f
11:16:41, 0090010024
11:17:37, 01232d4b3f
